,Round,Cycle,MouseID,Gender,Donor,ASD_diagnosis,OFT_Distance,OFT_velocity,OFT_LrgCntr_freq,OFT_LrgCntr_duration,OFT_LrgCntr_latency,OFT_SmlCntr_freq,OFT_SmlCntr_duration,OFT_SmlCntr_latency,OFT_Movement,MB_visible,MB_buried,MB_percentBuried,DSI_Agrsn_freq,DSI_Agrsn_duration,DSI_Social_freq,DSI_Social_duration,DSI_Groom_freq,DSI_Groom_Duration,SI_Habit_Social,SI_Habit_Cntr,SI_Habit_NonSocial,SI_Sociability_Social,SI_Sociability_Cntr,SI_Sociability_NonSocial,Unnamed: 30,Unnamed: 31,Unnamed: 32,USV_freq,USV_Duration,DSI_USV_median,DSI_USV_StdDev,DSI_USV_Freq,DSI_USV_Duration,DSI_USV_Slbl_num,DSI_USV_Slbl_Duration,DSI_USV_Slbl_Gap_Length,DSI_USV_Slbl_Bout_freq,DSI_USV_Slbl_Bout_gap,DSI_USV_Slbl_SlblPerBout,Unnamed: 45,SI_index
656,10.0,3.0,25.0,Male,A17-old,ASD,5702.23,9.73099,113.0,75.2085,12.2789,40.0,25.2252,12.6793,57.5845,5.0,15.0,75.0,0.0,0.0,12.0,30.265,3.0,10.435,125.52600000000001,247.114,196.697,309.61,77.6443,193.46,,,,,,0.00966,0.0253,119.0,1.1496,79.0,6.0,4096.0,15.0,6310.0,5.0,,11.544119108672746
657,10.0,3.0,26.0,Male,A17-old,ASD,3833.02,6.40761,101.0,89.5562,1.2345700000000002,49.0,104.738,1.5015,46.0576,3.0,17.0,85.0,0.0,0.0,9.0,6.62,4.0,25.135,199.533,249.149,116.383,245.946,64.8315,255.956,,,,,,0.00774,0.028089999999999997,116.0,0.8981,20.0,4.0,16779.0,12.0,2512.0,2.0,,-0.9972066259947212
658,10.0,3.0,27.0,Male,A17-old,ASD,4029.89,6.84515,120.0,63.9973,0.0,52.0,75.5756,17.3173,51.0954,8.0,12.0,60.0,0.0,0.0,16.0,36.44,2.0,6.145,157.457,186.42,194.66099999999997,275.108,46.0794,217.351,,,,,,0.008579999999999999,0.01863,215.0,1.848,17.0,5.0,21057.0,2.0,63096.0,9.0,,5.864143004798365
659,10.0,3.0,28.0,Male,A17-old,ASD,3019.04,5.15324,103.0,90.2569,4.37104,41.0,72.8061,4.67134,39.9911,10.0,10.0,50.0,0.0,0.0,20.0,62.885,1.0,7.415,258.325,125.52600000000001,158.49200000000002,313.647,38.2716,174.541,,,,,,0.0069099999999999995,0.020319999999999998,34.0,0.2351,10.0,7.0,34493.0,6.0,316.0,2.0,,14.247175268544083
660,10.0,3.0,29.0,Male,A11-old,ASD,4192.12,7.109839999999999,101.0,62.2956,0.266933,32.0,37.2706,4.9049,51.5347,5.0,15.0,75.0,0.0,0.0,34.0,102.71,1.0,8.675,223.99099999999999,156.757,189.356,264.998,69.4695,246.41299999999998,,,,,,0.00296,0.00464,511.0,1.5135,686.0,12.0,452.0,67.0,501.0,10.0,,1.8170317024858704
661,10.0,3.0,30.0,Male,A11-old,ASD,4378.87,7.44636,137.0,90.991,6.47314,51.0,42.7761,7.1071100000000005,50.1057,9.0,11.0,55.0,0.0,0.0,8.0,14.09,3.0,6.975,143.477,145.679,243.31,280.647,101.66799999999999,174.274,,,,,,0.014669999999999999,0.035210000000000005,119.0,1.7465,,,,,,,,11.691370589618856
662,10.0,3.0,31.0,Male,A11-old,ASD,3837.32,6.41337,108.0,76.8101,1.5348700000000002,54.0,79.7798,2.002,48.7155,16.0,4.0,20.0,0.0,0.0,10.0,38.28,3.0,2.28,143.911,162.46200000000002,243.77700000000002,271.305,68.8355,198.332,,,,,,0.00509,0.0076,45.0,0.2294,31.0,6.0,10650.0,20.0,158.0,2.0,,7.769085485172589
663,10.0,3.0,32.0,Male,A11-old,ASD,2818.57,4.9370199999999995,40.0,17.8178,31.9653,15.0,22.7561,128.428,38.8679,19.0,1.0,5.0,0.0,0.0,15.0,20.035,1.0,5.045,79.4795,112.679,345.279,196.33,51.4848,282.51599999999996,,,,,,0.00361,0.0071200000000000005,37.0,0.1338,,,,,,,,-8.99934425681743
664,10.0,3.0,33.0,Female,C4,NT,5317.25,8.977910000000001,119.0,67.6677,0.567233,44.0,40.9409,0.734067,55.8639,7.0,13.0,65.0,0.0,0.0,16.0,15.73,4.0,14.47,116.383,183.61700000000002,266.033,252.553,53.4534,215.315,,,,,,0.00536,0.01196,89.0,0.4778,3.0,5.0,107906.0,2.0,50119.0,2.0,,3.9795412381269912
665,10.0,3.0,34.0,Female,C4,NT,4439.84,7.482530000000001,125.0,122.289,1.33467,44.0,29.7631,1.83517,49.4689,5.0,15.0,75.0,0.0,0.0,13.0,28.815,3.0,9.715,99.0991,187.321,228.028,258.85900000000004,61.5616,222.856,,,,,,0.0036299999999999995,0.0077599999999999995,170.0,0.6185,117.0,12.0,2937.0,50.0,158.0,2.0,,3.736960651007344
