status	exp	origin	picture	tank2	tank	date	daysPI	Fdensity	Fdensity0	cephL	genL	ES	EES	ES1L	ES2L	eggsES1total	eggsES2total	eggstotal	max_ES
farmed	1	B	15_090610_f1	115	15	6/9/10	55	4	4	4.323	3.463	1	2	11.706	12.347	199	212	412	212
farmed	1	B	15_090610_f2	115	15	6/9/10	55	4	4	4.593	3.530	1	2	13.319	12.998	201	196	396	201
farmed	1	B	15_090610_f3	115	15	6/9/10	55	4	4	4.559	3.666	1	2	11.932	11.761	173	175	348	175
farmed	1	B	15_090610_f4	115	15	6/9/10	55	4	4	4.294	3.176	1	2	14.796	14.647	223	220	443	223
farmed	1	B	15_210610_f1	115	15	6/21/10	67	5	4	4.504	3.848	2	2	20.006	16.893	343	299	643	343
farmed	1	B	15_210610_f2	115	15	6/21/10	67	5	4	4.398	3.871	2	2	10.771	11.241	150	165	315	165
farmed	1	B	15_210610_f3	115	15	6/21/10	67	5	4	4.557	3.991	2	2	20.591	16.197	352	311	662	352
farmed	1	B	15_210610_f4	115	15	6/21/10	67	5	4	4.742	3.849	2	2	17.672	18.206	305	313	617	313
farmed	1	B	15_300610_f2	115	15	6/30/10	76	4	4	4.424	3.717	3	2	19.761	20.182	360	358	718	360
farmed	1	B	15_300610_f3	115	15	6/30/10	76	4	4	4.329	3.642	3	2	18.41	17.986	283	276	559	283
farmed	1	B	15_300610_f4	115	15	6/30/10	76	4	4	4.363	3.681	3	2	23.244	19.131	400	378	778	400
farmed	1	B	15_070710_f2	115	15	7/7/10	83	4	4	4.437	3.609	4	2	19.205	19.748	348	354	703	354
farmed	1	B	15_200710_f2	115	15	7/20/10	96	2	4	4.546	3.835	5	2	17.781	18.048	314	312	626	314
wild	1	O	16_030610_E	116	16	6/3/10	54	3	3	.	.	1	2	15.489	15.454	259	248	508	259
wild	1	O	16_040610_f1	116	16	6/4/10	55	3	3	4.523	3.543	1	2	11.855	11.985	183	175	358	183
wild	1	O	16_040610_f3	116	16	6/4/10	55	3	3	4.578	3.480	1	2	14.159	14.359	219	226	445	226
wild	1	O	16_150610_f1	116	16	6/15/10	66	3	3	4.423	3.373	2	2	10.819	11.442	161	163	324	163
wild	1	O	16_150610_f2	116	16	6/15/10	66	3	3	4.520	3.770	2	2	21.123	20.81	367	355	722	367
wild	1	O	16_150610_f3	116	16	6/15/10	66	3	3	4.435	3.789	2	2	20.075	8.502	341	104	445	341
wild	1	O	16_250610_f1	116	16	6/25/10	76	3	3	4.571	3.810	3	2	22.272	21.787	370	362	732	370
wild	1	O	16_250610_f3	116	16	6/25/10	76	3	3	4.467	3.519	3	2	18.738	7.936	335	75	410	335
wild	1	O	16_050710_f3	116	16	7/5/10	86	3	3	4.464	3.944	4	2	23.008	23.136	362	396	758	396
wild	1	O	16_160710_f1	116	16	7/16/10	97	3	3	4.601	3.868	3	2	24.71	13.964	395	221	615	395
wild	1	O	17_020610_E	117	17	6/2/10	53	4	4	.	.	1	2	13.532	13.553	202	190	392	202
wild	1	O	17_080610_E	117	17	6/8/10	59	4	4	.	.	1	2	11.278	11.363	152	157	309	157
wild	1	O	17_080610_f1	117	17	6/8/10	59	4	4	4.531	3.873	1	2	14.862	14.566	192	196	389	196
wild	1	O	17_080610_f4	117	17	6/8/10	59	4	4	4.636	3.146	1	2	9.918	9.947	133	141	274	141
wild	1	O	17_230610_E	117	17	6/23/10	74	4	4	.	.	3	2	16.251	16.948	237	258	495	258
wild	1	O	17_250610_f3	117	17	6/25/10	76	4	4	4.560	3.408	4	2	16.723	16.314	274	277	551	277
wild	1	O	17_250610_f4	117	17	6/25/10	76	4	4	4.542	3.456	4	2	14.867	15.832	295	290	586	295
wild	1	O	18_070610_f1	118	18	6/7/10	58	2	2	4.534	3.656	1	2	12.844	12.971	205	205	411	205
wild	1	O	18_070610_f2	118	18	6/7/10	58	2	2	4.504	3.470	1	2	12.611	12.675	185	191	376	191
wild	1	O	18_150610_f1	118	18	6/15/10	66	1	2	4.466	3.509	2	2	16.757	17.827	292	300	592	300
farmed	1	B	19_110610_f1	119	19	6/11/10	57	4	4	4.457	3.578	1	2	12.100	12.026	173	173	346	173
farmed	1	B	19_110610_f2	119	19	6/11/10	57	4	4	4.464	3.742	1	2	12.946	12.941	212	208	421	212
farmed	1	B	19_110610_f3	119	19	6/11/10	57	4	4	4.188	3.239	1	2	10.806	10.607	179	169	348	179
farmed	1	B	19_110610_f4	119	19	6/11/10	57	4	4	4.465	3.397	1	2	11.327	11.924	188	199	387	199
farmed	1	B	19_210610_f1	119	19	6/21/10	67	3	4	4.318	3.864	2	2	19.177	19.197	331	336	667	336
farmed	1	B	19_210610_f2	119	19	6/21/10	67	3	4	4.514	3.541	2	2	11.685	20.255	211	333	543	333
farmed	1	B	19_210610_f3	119	19	6/21/10	67	3	4	4.215	3.260	2	2	14.586	16.66	275	280	555	280
farmed	1	B	19_300610_f2	119	19	6/30/10	76	2	4	4.171	3.527	3	2	19.813	19.393	358	337	695	358
farmed	1	B	21_080610_f2	121	21	6/8/10	54	3	3	4.589	3.470	1	2	11.845	12.339	176	191	367	191
farmed	1	B	21_080610_f3	121	21	6/8/10	54	3	3	4.517	3.590	1	2	12.215	12.098	192	187	380	192
farmed	1	B	21_180610_f1	121	21	6/18/10	64	3	3	4.335	3.619	2	2	18.539	14.112	326	283	609	326
farmed	1	B	21_180610_f2	121	21	6/18/10	64	3	3	4.528	3.710	2	2	19.28	19.153	314	295	609	314
farmed	1	B	21_280610_f2	121	21	6/28/10	74	3	3	4.594	3.630	3	2	20.683	19.879	342	325	667	342
farmed	1	B	21_070710_f1	121	21	7/7/10	83	3	3	4.451	3.535	4	2	20.444	20.791	330	327	657	330
farmed	1	B	21_200710_f1	121	21	7/20/10	96	2	3	4.667	3.607	5	2	12.667	12.873	196	199	395	199
wild	1	O	22_020710_f1	122	22	7/2/10	86	2	2	4.617	3.378	4	2	16.207	15.862	234	233	467	234
wild	1	O	22_020710_f2	122	22	7/2/10	86	2	2	4.358	3.238	4	2	15.313	14.826	247	241	488	247
wild	1	O	22_140710_f1	122	22	7/14/10	98	2	2	4.464	3.237	5	2	14.216	14.355	216	219	435	219
wild	1	O	22_140710_f2	122	22	7/14/10	98	2	2	4.493	3.241	5	2	16.081	15.547	231	227	458	231
wild	1	O	23_030610a	123	23	6/3/10	58	3	3	4.782	4.016	1	2	15.624	15.567	241	243	485	243
wild	1	O	23_030610e	123	23	6/3/10	58	3	3	4.675	3.909	1	2	13.919	13.850	222	209	431	222
wild	1	O	23_100610_f1	123	23	6/10/10	65	2	3	4.867	4.057	2	2	26.035	26.09	467	463	930	467
wild	1	O	23_100610_f2	123	23	6/10/10	65	2	3	4.438	3.357	2	2	19.767	18.376	300	298	598	300
wild	1	O	23_220610_f1	123	23	6/22/10	77	2	3	4.845	3.834	3	2	22.291	23.354	462	478	940	478
wild	1	O	23_220610_f2	123	23	6/22/10	77	2	3	4.490	3.398	3	2	13.725	6.443	211	19	230	211
wild	1	O	23_300610_f2	123	23	6/30/10	85	2	3	4.444	3.478	4	2	10.545	8.128	56	61	117	61
wild	1	O	23_120710_f2	123	23	7/12/10	97	2	3	4.412	3.538	5	2	17.515	11.904	229	168	397	229
wild	1	O	24_070610_f1	124	24	6/7/10	57	2	2	.	.	1	2	13.469	12.961	196	194	390	196
wild	1	O	24_070610_f2	124	24	6/7/10	57	2	2	4.543	3.519	1	2	12.558	12.855	200	189	390	200
wild	1	O	24_150610_f1	124	24	6/15/10	65	2	2	4.466	3.550	2	2	19.313	19.846	337	349	685	349
wild	1	O	24_150610_f2	124	24	6/15/10	65	2	2	4.500	3.779	2	2	20.262	19.957	369	366	735	369
wild	1	O	24_280610_f2	124	24	6/28/10	78	3	2	4.449	3.554	3	2	11.263	11.971	187	386	573	386
wild	1	O	24_280610_f3	124	24	6/28/10	78	3	2	4.573	3.592	3	2	19.621	20.316	331	364	695	364
wild	1	O	24_070710_f2	124	24	7/7/10	87	2	2	4.514	3.701	4	2	20.797	20.525	376	383	759	383
wild	1	O	24_200710_f2	124	24	7/20/10	100	2	2	4.641	3.931	5	2	20.479	21.768	359	366	725	366
farmed	1	B	25_150610_f1	125	25	6/15/10	61	2	2	4.562	3.586	1	2	12.492	11.941	195	190	385	195
farmed	1	B	25_150610_f2	125	25	6/15/10	61	2	2	4.687	3.907	1	2	16.768	17.219	227	244	471	244
farmed	1	B	25_230610_f1	125	25	6/23/10	69	2	2	4.635	3.877	2	2	21.94	22.7	394	411	805	411
farmed	1	B	25_230610_f2	125	25	6/23/10	69	2	2	4.709	3.835	2	2	18.781	18.074	323	322	645	323
farmed	1	B	25_050710_f1	125	25	7/5/10	81	2	2	4.699	3.854	3	2	21.025	22.737	368	383	751	383
farmed	1	B	25_140710_f1	125	25	7/14/10	90	1	2	4.747	3.917	4	2	21.341	20.741	381	385	767	385
farmed	1	B	25_220710_f1	125	25	7/22/10	98	1	2	4.693	3.797	5	2	22.066	20.079	390	357	747	390
farmed	1	B	26_090610_f1	126	26	6/9/10	55	3	3	4.602	3.831	1	2	12.413	12.627	192	192	384	192
farmed	1	B	26_090610_f2	126	26	6/9/10	55	3	3	4.567	3.396	1	2	15.274	14.939	266	252	518	266
farmed	1	B	26_220610_f1	126	26	6/22/10	68	3	3	4.474	3.620	2	2	18.128	13.816	317	259	576	317
farmed	1	B	26_220610_f2	126	26	6/22/10	68	3	3	4.780	3.892	2	2	14.399	14.936	189	205	394	205
farmed	1	B	26_220610_f3	126	26	6/22/10	68	3	3	4.513	3.957	2	2	22.122	20.697	394	378	771	394
farmed	1	B	26_300610_f1	126	26	6/30/10	76	3	3	4.731	3.748	3	2	14.505	10.829	232	86	318	232
farmed	1	B	26_300610_f2	126	26	6/30/10	76	3	3	4.307	3.715	3	2	23.268	22.09	428	420	847	428
farmed	1	B	27_150610_f1	127	27	6/15/10	61	3	3	4.287	3.679	2	2	21.096	21.439	370	367	737	370
farmed	1	B	27_150610_f2	127	27	6/15/10	61	3	3	4.342	3.218	1	2	9.648	7.125	135	76	211	135
farmed	1	B	27_150610_f3	127	27	6/15/10	61	3	3	4.425	3.547	1	2	13.738	11.509	200	115	315	200
farmed	1	B	27_250610_f1	127	27	6/25/10	71	2	3	4.302	3.340	2	2	13.364	15.023	244	252	496	252
farmed	1	B	27_250610_f2	127	27	6/25/10	71	2	3	4.441	3.716	2	2	25.795	10.075	463	145	608	463
farmed	1	B	27_070710_f2	127	27	7/7/10	83	2	3	4.478	3.792	3	2	24.525	8.288	450	44	494	450
wild	1	O	28_030610a	128	28	6/3/10	58	1	1	4.772	4.039	1	2	15.009	15.525	219	236	455	236
wild	1	O	28_120710_f1	128	28	7/12/10	97	5	1	4.815	3.844	4	2	17.256	16.533	280	250	530	280
wild	1	O	28_120710_f4	128	28	7/12/10	97	5	1	4.459	3.980	5	2	14.72	14.394	78	70	148	78
wild	1	O	28_220710_f1	128	28	7/22/10	107	4	1	4.394	4.044	5	2	18.831	19.268	313	315	627	315
wild	1	O	28_220710_f3	128	28	7/22/10	107	4	1	4.268	3.669	5	2	18.279	18.659	303	307	611	307
wild	1	O	29_090610_f1	129	29	6/9/10	60	1	1	.	.	1	2	13.227	13.412	206	206	412	206
wild	1	O	29_300610_f1	129	29	6/30/10	81	1	1	4.769	4.104	3	2	23.745	23.365	376	372	749	376
wild	1	O	30_040610a	130	30	6/4/10	54	3	3	.	3.315	1	2	9.553	9.258	141	137	277	141
wild	1	O	30_040610b	130	30	6/4/10	54	3	3	4.563	3.403	1	2	12.508	12.653	182	187	369	187
wild	1	O	30_040610c	130	30	6/4/10	54	3	3	4.334	3.306	1	2	10.816	11.627	152	170	322	170
wild	1	O	30_150610_f1	130	30	6/15/10	65	3	3	4.379	3.563	2	2	16.17	16.553	292	295	586	295
wild	1	O	30_150610_f2	130	30	6/15/10	65	3	3	4.447	3.702	2	2	14.905	16.295	249	273	522	273
wild	1	O	30_150610_f3	130	30	6/15/10	65	3	3	4.601	3.574	2	2	18.83	19.318	322	325	646	325
wild	1	O	30_240610_f1	130	30	6/24/10	74	2	3	4.410	3.657	3	2	13.539	13.523	245	253	498	253
wild	1	O	30_240610_f2	130	30	6/24/10	74	2	3	4.596	3.548	3	2	18.301	19.503	301	316	618	316
wild	1	O	30_050710_f1	130	30	7/5/10	85	1	3	4.505	3.564	4	2	21.638	20.855	369	359	728	369
wild	1	O	30_140710_f1	130	30	7/14/10	94	1	3	4.278	3.590	5	2	18.35	17.287	307	297	604	307
farmed	2	F	F10(2)FL2(1)	210	10	5/13/14	71	7	7	3.109	2.998	1	2	7.921	8.1	110.6726547	100.25	211	110.6726547
farmed	2	F	F10(2)FL1(1)	210	10	5/13/14	71	7	7	3.178	3.339	1	2	8.035	9.94	109.3197279	124.18	233	124.1794435
farmed	2	F	F10FL1(1)	210	10	5/8/14	66	7	7	3.065	3.001	1	2	10.61	11.156	177.5567125	178.38	356	178.3818356
farmed	2	F	F10FL2(1)	210	10	5/8/14	66	7	7	3.493	3.429	1	2	11.349	11.299	178.9256757	167.83	347	178.9256757
farmed	2	F	F10FL3(1)	210	10	5/8/14	66	7	7	3.274	3.276	1	2	9.648	10.055	135.505618	147.79	283	147.7900262
farmed	2	F	F10FL4(1)	210	10	5/8/14	66	7	7	3.492	3.495	1	2	9.94	10.144	155.8162162	158.50	314	158.5
