combo mu_0 effect n theta nb.error t Welch log Wilcoxan nb nb.x2 nb.perm qp
1 4 1 5 0.5 0 0.24679362855816 0.261030372601416 0.369602666097729 0.366052516444951 0.238761238761239 0.295470637541765 0.271364317841079 0.205968782281916
1 4 1 5 0.5 0 0.128978291505243 0.165776128977821 0.0615738412104958 0.072005657555498 0.000999000999000999 0.0137804077202615 0.0524737631184408 0.996634808462912
1 4 1 5 0.5 0 0.320034821385825 0.347457874957519 0.378829059348828 0.52321709778149 0.127872127872128 0.0884109913112162 0.268865567216392 0.22597526873914
1 4 1 5 0.5 0 0.91623645846807 0.916908295897034 0.748815044720019 0.797169693133742 0.598401598401598 0.942760729106245 0.883058470764618 0.912328616595878
1 4 1 5 0.5 0 0.433395334922858 0.448517887820617 0.446471202766538 0.665414397784769 0.350649350649351 0.259245460927976 0.438280859570215 0.371147478966883
1 4 1 5 0.5 0 0.312159946193297 0.327335806780721 0.496535741967014 0.662311002997564 0.344655344655345 0.303120535605506 0.373313343328336 0.267743131883439
1 4 1 5 0.5 0 0.374074179533939 0.382986629225546 0.500716056320562 0.525808953452939 0.321678321678322 0.372126759096182 0.385807096451774 0.332560025505674
1 4 1 5 0.5 0 0.461655469637529 0.463773385821359 0.490899877180119 0.432245180541211 0.42957042957043 0.516498160778373 0.467266366816592 0.454444536789498
1 4 1 5 0.5 0 0.873069681395826 0.874285120942665 0.648643581555627 1 0.856143856143856 0.870774955119924 0.869065467266367 0.867526444494459
1 4 1 5 0.5 0 0.824585112265691 0.825650233904919 0.993647835494475 0.91390645625926 0.823176823176823 0.840662959191847 0.823088455772114 0.816125172324645
1 4 1 5 0.5 0 0.269606798809858 0.288391243440061 0.224839522942341 0.203091787577168 0.221778221778222 0.164892661478009 0.28335832083958 0.216480950488633
1 4 1 5 0.5 0 0.7421137822038 0.742463441843218 0.865587406412928 1 0.756243756243756 0.782836128267887 0.764117941029485 0.733307505762565
1 4 1 5 0.5 0 0.0534929873519544 0.0597429079636212 0.0528496551594328 0.0826622520567186 0.001998001998002 0.0408479610313079 0.0354822588705647 0.0347700967129004
1 4 1 5 0.5 0 0.885466925671073 0.885545214751163 0.984431695080282 0.916562644679541 0.883116883116883 0.881787202240937 0.880059970014992 0.881546066966037
1 4 1 5 0.5 0 0.187929264452206 0.222329520829463 0.292335186551843 0.72305812692811 0.02997002997003 0.117639455578815 0.254372813593203 0.135360027662675
1 4 1 5 0.5 0 0.111012599460445 0.137633822376505 0.103091443287881 0.159883810158882 0.045954045954046 0.0589187557745849 0.107946026986507 0.0765311466343364
1 4 1 5 0.5 0 0.712847272584217 0.712850483028956 0.655984809716644 0.74726202579539 0.689310689310689 0.68689125199098 0.703648175912044 0.706194706236836
1 4 1 5 0.5 0 0.853516844908305 0.853518382668592 0.79244939562423 0.823063273758121 0.815184815184815 0.858297017309135 0.850074962518741 0.849252435905387
1 4 1 5 0.5 0 0.29558237769065 0.324102777194751 0.137521549314062 0.10712339925384 0.0779220779220779 0.0593910626794707 0.218890554722639 0.236976038955328
1 4 1 5 0.5 0 0.315948003326369 0.339021854009391 0.570506670381207 0.671373240540873 0.20979020979021 0.261330469008364 0.335832083958021 0.239839094829733
1 4 1 5 0.5 0 0.477011163274379 0.480278925660516 0.475313085975808 0.461975431039384 0.487512487512487 0.512770787810592 0.477261369315342 0.450650543036299
1 4 1 5 0.5 0 0.938929075336877 0.939323064214989 0.762960743967595 0.737315677216418 0.873126873126873 0.940534174013562 0.918540729635182 0.93643438399476
1 4 1 5 0.5 0 0.167457613957483 0.175536700278231 0.267326197117358 0.197395731844499 0.120879120879121 0.154056250349098 0.175412293853073 0.135278652703971
1 4 1 5 0.5 0 0.519033948587136 0.523159418988262 0.183774845256735 0.263552477282973 0.595404595404595 0.616419153594161 0.522738630684658 0.548968964731274
1 4 1 5 0.5 0 0.522361509863819 0.526548126886569 0.725764042973503 0.672335808365955 0.511488511488511 0.510486385071996 0.517241379310345 0.493588267856206
